Idx_Sample,Mixture Type,Additive Type,SiO2 (%),Al2O3 (%),Fe2O3 (%),CaO (%),MgO (%),LOI (%),Coarse Cggregate (kg/m3),Fine Aggregate (kg/m3),Initial Curing Temp (℃),Final Curing Temp (℃),Nano-Additive (kg/m3),Partical Size (nm),Additive Purity (%),28-d Cubic compressive strength (MPa)
638,paste,nano-ZnO,55.9,28.1,6.97,3.84,0.93,,0,0,27,27,37.5,40,99.8,33.2
639,paste,nano-ZnO,55.9,28.1,6.97,3.84,0.93,,0,0,27,27,50,40,99.8,40.3
640,geopolymer,Nano-TiO2,38.33,7.11,2.96,35.38,5.4,9.49,0,0,,,0,28,99,35.55
641,geopolymer,Nano-TiO2,42.684,8.524,3.79,29.974,5.244,7.972,0,0,,,0,28,99,38.58
642,geopolymer,Nano-TiO2,47.038,9.938,4.62,24.568,5.088,6.454,0,0,,,0,28,99,31.88
643,geopolymer,Nano-TiO2,51.392,11.352,5.45,19.162,4.932,4.936,0,0,,,0,28,99,24.72
644,geopolymer,Nano-TiO2,42.684,8.524,3.79,29.974,5.244,7.972,0,0,,,0.5,28,99,41.71
645,geopolymer,Nano-TiO2,42.684,8.524,3.79,29.974,5.244,7.972,0,0,,,1,28,99,40.13
646,geopolymer,Nano-TiO2,59.59,34.91,1.52,0.2,0.05,0.82,0,0,,,0,21,99.7,
647,geopolymer,Nano-TiO2,59.59,34.91,1.52,0.2,0.05,0.82,0,0,,,0.5,21,99.7,
648,geopolymer,Nano-TiO2,59.59,34.91,1.52,0.2,0.05,0.82,0,0,,,1,21,99.7,
649,geopolymer,Nano-TiO2,38.01,9.95,1.85,34.32,10.04,0.33,0,0,,,0,21,99.7,
650,geopolymer,Nano-TiO2,38.01,9.95,1.85,34.32,10.04,0.33,0,0,,,0.5,21,99.7,
651,geopolymer,Nano-TiO2,38.01,9.95,1.85,34.32,10.04,0.33,0,0,,,1,21,99.7,
652,geopolymer,Nano-TiO2,48.8,22.43,1.685,17.26,5.045,0.575,0,0,,,0,21,99.7,
653,geopolymer,Nano-TiO2,48.8,22.43,1.685,17.26,5.045,0.575,0,0,,,0.5,21,99.7,
654,geopolymer,Nano-TiO2,48.8,22.43,1.685,17.26,5.045,0.575,0,0,,,1,21,99.7,
655,mortar,-,35.4,17.4,1.4,36.87,6.83,0.23,0,300,25,25,0,,99.8,27.38
656,mortar,Titania nano- particles,35.4,17.4,1.4,36.87,6.83,0.23,0,300,25,25,1,72,99.8,33.23
657,mortar,Titania nano- particles,35.4,17.4,1.4,36.87,6.83,0.23,0,300,25,25,3,72,99.8,31.96
658,mortar,Titania nano- particles,35.4,17.4,1.4,36.87,6.83,0.23,0,300,25,25,5,72,99.8,31.25
659,mortar,Magnesia nano- particles,35.4,17.4,1.4,36.87,6.83,0.23,0,300,25,25,1,34,99.8,28.84
660,mortar,Magnesia nano- particles,35.4,17.4,1.4,36.87,6.83,0.23,0,300,25,25,3,34,99.8,34.37
661,mortar,Magnesia nano- particles,35.4,17.4,1.4,36.87,6.83,0.23,0,300,25,25,5,34,99.8,30.64
662,mortar,-,50.92,25.18,2.79,11.33,2.59,2.88,,1632,23,23,0,,,4
663,mortar,-,46.47,22.22,2.26,19.2,3.34,2.68,,1632,23,23,0,,,30
664,mortar,-,44.24,20.73,2,23.14,3.71,2.58,,1632,23,23,0,,,42.1
665,mortar,-,42.01,19.25,1.74,27.08,4.08,2.48,,1632,23,23,0,,,48.2
666,mortar,-,37.56,16.29,1.21,34.95,4.83,2.28,,1632,23,23,0,,,59.5
667,mortar,high-halloysite kaolin nanoparticles,44.31,21.26,1.95,22.45,3.6,2.91,,1632,23,23,28.8,,,45.6
668,mortar,high-halloysite kaolin nanoparticles,44.38,21.79,1.91,21.75,3.5,3.25,,1632,23,23,57.6,,,48.2
669,mortar,high-halloysite kaolin nanoparticles,44.45,22.32,1.86,21.06,3.39,3.58,,1632,23,23,86.4,,,43.6
670,mortar,low-halloysite kaolin nanoparticles,44.92,20.83,1.99,22.46,3.61,2.6,,1632,23,23,28.8,,,42
671,mortar,low-halloysite kaolin nanoparticles,45.61,20.92,1.98,21.77,3.5,2.61,,1632,23,23,57.6,,,40.6
672,mortar,low-halloysite kaolin nanoparticles,46.29,21.01,1.97,21.09,3.4,2.63,,1632,23,23,86.4,,,39.7
673,geopolymer,nano-ZrO2,56,38.1,,,,,0,0,80,23,0,97,,33.17
674,geopolymer,nano-ZrO2,56,38.1,,,,,0,0,80,23,2,97,,40.16
675,geopolymer,nano-ZrO2,56,38.1,,,,,0,0,80,23,5,97,,52.73
676,geopolymer,nano-ZrO2,56,38.1,,,,,0,0,80,23,10,97,,32.52
677,geopolymer,nano-ZrO2,56,38.1,,,,,0,0,80,23,15,97,,31.68
